,n,Relations,FCY Result
183,189,"[[1, 4], [3, 6]]","(False, 100)"
184,190,"[[1, 4], [3, 6]]","(False, 100)"
185,191,"[[1, 4], [3, 6]]","(False, 100)"
186,192,"[[1, 4], [3, 6]]","(False, 100)"
187,193,"[[1, 4], [3, 6]]","(False, 100)"
188,194,"[[1, 4], [3, 6]]","(False, 100)"
189,195,"[[1, 4], [3, 6]]","(False, 100)"
190,196,"[[1, 4], [3, 6]]","(False, 100)"
191,197,"[[1, 4], [3, 6]]","(False, 100)"
192,198,"[[1, 4], [3, 6]]","(False, 100)"
193,199,"[[1, 4], [3, 6]]","(False, 100)"
194,200,"[[1, 4], [3, 6]]","(False, 100)"
195,201,"[[1, 4], [3, 6]]","(False, 100)"
196,202,"[[1, 4], [3, 6]]","(False, 100)"
197,203,"[[1, 4], [3, 6]]","(False, 100)"
198,204,"[[1, 4], [3, 6]]","(False, 100)"
199,205,"[[1, 4], [3, 6]]","(False, 100)"
200,206,"[[1, 4], [3, 6]]","(False, 100)"
201,207,"[[1, 4], [3, 6]]","(False, 100)"
202,208,"[[1, 4], [3, 6]]","(False, 100)"
203,209,"[[1, 4], [3, 6]]","(False, 100)"
204,210,"[[1, 4], [3, 6]]","(False, 100)"
205,211,"[[1, 4], [3, 6]]","(False, 100)"
206,212,"[[1, 4], [3, 6]]","(False, 100)"
207,213,"[[1, 4], [3, 6]]","(False, 100)"
208,214,"[[1, 4], [3, 6]]","(False, 100)"
209,215,"[[1, 4], [3, 6]]","(False, 100)"
210,216,"[[1, 4], [3, 6]]","(False, 100)"
211,217,"[[1, 4], [3, 6]]","(False, 100)"
212,218,"[[1, 4], [3, 6]]","(False, 100)"
213,219,"[[1, 4], [3, 6]]","(False, 100)"
214,220,"[[1, 4], [3, 6]]","(False, 100)"
215,221,"[[1, 4], [3, 6]]","(False, 100)"
216,222,"[[1, 4], [3, 6]]","(False, 100)"
217,223,"[[1, 4], [3, 6]]","(False, 100)"
218,224,"[[1, 4], [3, 6]]","(False, 100)"
219,225,"[[1, 4], [3, 6]]","(False, 100)"
220,226,"[[1, 4], [3, 6]]","(False, 100)"
221,227,"[[1, 4], [3, 6]]","(False, 100)"
222,228,"[[1, 4], [3, 6]]","(False, 100)"
223,229,"[[1, 4], [3, 6]]","(False, 100)"
224,230,"[[1, 4], [3, 6]]","(False, 100)"
225,231,"[[1, 4], [3, 6]]","(False, 100)"
226,232,"[[1, 4], [3, 6]]","(False, 100)"
227,233,"[[1, 4], [3, 6]]","(False, 100)"
228,234,"[[1, 4], [3, 6]]","(False, 100)"
229,235,"[[1, 4], [3, 6]]","(False, 100)"
230,236,"[[1, 4], [3, 6]]","(False, 100)"
231,237,"[[1, 4], [3, 6]]","(False, 100)"
232,238,"[[1, 4], [3, 6]]","(False, 100)"
233,239,"[[1, 4], [3, 6]]","(False, 100)"
234,240,"[[1, 4], [3, 6]]","(False, 100)"
235,241,"[[1, 4], [3, 6]]","(False, 100)"
236,242,"[[1, 4], [3, 6]]","(False, 100)"
237,243,"[[1, 4], [3, 6]]","(False, 100)"
238,244,"[[1, 4], [3, 6]]","(False, 100)"
239,245,"[[1, 4], [3, 6]]","(False, 100)"
240,246,"[[1, 4], [3, 6]]","(False, 100)"
241,247,"[[1, 4], [3, 6]]","(False, 100)"
242,248,"[[1, 4], [3, 6]]","(False, 100)"
243,249,"[[1, 4], [3, 6]]","(False, 100)"
244,250,"[[1, 4], [3, 6]]","(False, 100)"
245,251,"[[1, 4], [3, 6]]","(False, 100)"
246,252,"[[1, 4], [3, 6]]","(False, 100)"
247,253,"[[1, 4], [3, 6]]","(False, 100)"
248,254,"[[1, 4], [3, 6]]","(False, 100)"
249,255,"[[1, 4], [3, 6]]","(False, 100)"
250,256,"[[1, 4], [3, 6]]","(False, 100)"
251,257,"[[1, 4], [3, 6]]","(False, 100)"
252,258,"[[1, 4], [3, 6]]","(False, 100)"
253,259,"[[1, 4], [3, 6]]","(False, 100)"
254,260,"[[1, 4], [3, 6]]","(False, 100)"
255,261,"[[1, 4], [3, 6]]","(False, 100)"
256,262,"[[1, 4], [3, 6]]","(False, 100)"
257,263,"[[1, 4], [3, 6]]","(False, 100)"
258,264,"[[1, 4], [3, 6]]","(False, 100)"
259,265,"[[1, 4], [3, 6]]","(False, 100)"
260,266,"[[1, 4], [3, 6]]","(False, 100)"
261,267,"[[1, 4], [3, 6]]","(False, 100)"
262,268,"[[1, 4], [3, 6]]","(False, 100)"
263,269,"[[1, 4], [3, 6]]","(False, 100)"
264,270,"[[1, 4], [3, 6]]","(False, 100)"
265,271,"[[1, 4], [3, 6]]","(False, 100)"
266,272,"[[1, 4], [3, 6]]","(False, 100)"
267,273,"[[1, 4], [3, 6]]","(False, 100)"
268,274,"[[1, 4], [3, 6]]","(False, 100)"
269,275,"[[1, 4], [3, 6]]","(False, 100)"
270,276,"[[1, 4], [3, 6]]","(False, 100)"
271,277,"[[1, 4], [3, 6]]","(False, 100)"
272,278,"[[1, 4], [3, 6]]","(False, 100)"
273,279,"[[1, 4], [3, 6]]","(False, 100)"
274,280,"[[1, 4], [3, 6]]","(False, 100)"
275,281,"[[1, 4], [3, 6]]","(False, 100)"
276,282,"[[1, 4], [3, 6]]","(False, 100)"
277,283,"[[1, 4], [3, 6]]","(False, 100)"
278,284,"[[1, 4], [3, 6]]","(False, 100)"
279,285,"[[1, 4], [3, 6]]","(False, 100)"
280,286,"[[1, 4], [3, 6]]","(False, 100)"
281,287,"[[1, 4], [3, 6]]","(False, 100)"
282,288,"[[1, 4], [3, 6]]","(False, 100)"
283,289,"[[1, 4], [3, 6]]","(False, 100)"
284,290,"[[1, 4], [3, 6]]","(False, 100)"
285,291,"[[1, 4], [3, 6]]","(False, 100)"
286,292,"[[1, 4], [3, 6]]","(False, 100)"
287,293,"[[1, 4], [3, 6]]","(False, 100)"
288,294,"[[1, 4], [3, 6]]","(False, 100)"
289,295,"[[1, 4], [3, 6]]","(False, 100)"
290,296,"[[1, 4], [3, 6]]","(False, 100)"
291,297,"[[1, 4], [3, 6]]","(False, 100)"
292,298,"[[1, 4], [3, 6]]","(False, 100)"
293,299,"[[1, 4], [3, 6]]","(False, 100)"
294,300,"[[1, 4], [3, 6]]","(False, 100)"
295,301,"[[1, 4], [3, 6]]","(False, 100)"
296,302,"[[1, 4], [3, 6]]","(False, 100)"
297,303,"[[1, 4], [3, 6]]","(False, 100)"
298,304,"[[1, 4], [3, 6]]","(False, 100)"
299,305,"[[1, 4], [3, 6]]","(False, 100)"
300,306,"[[1, 4], [3, 6]]","(False, 100)"
301,307,"[[1, 4], [3, 6]]","(False, 100)"
302,308,"[[1, 4], [3, 6]]","(False, 100)"
303,309,"[[1, 4], [3, 6]]","(False, 100)"
304,310,"[[1, 4], [3, 6]]","(False, 100)"
305,311,"[[1, 4], [3, 6]]","(False, 100)"
306,312,"[[1, 4], [3, 6]]","(False, 100)"
307,313,"[[1, 4], [3, 6]]","(False, 100)"
308,314,"[[1, 4], [3, 6]]","(False, 100)"
309,315,"[[1, 4], [3, 6]]","(False, 100)"
310,316,"[[1, 4], [3, 6]]","(False, 100)"
311,317,"[[1, 4], [3, 6]]","(False, 100)"
312,318,"[[1, 4], [3, 6]]","(False, 100)"
313,319,"[[1, 4], [3, 6]]","(False, 100)"
314,320,"[[1, 4], [3, 6]]","(False, 100)"
315,321,"[[1, 4], [3, 6]]","(False, 100)"
316,322,"[[1, 4], [3, 6]]","(False, 100)"
317,323,"[[1, 4], [3, 6]]","(False, 100)"
318,324,"[[1, 4], [3, 6]]","(False, 100)"
319,325,"[[1, 4], [3, 6]]","(False, 100)"
320,326,"[[1, 4], [3, 6]]","(False, 100)"
321,327,"[[1, 4], [3, 6]]","(False, 100)"
322,328,"[[1, 4], [3, 6]]","(False, 100)"
323,329,"[[1, 4], [3, 6]]","(False, 100)"
324,330,"[[1, 4], [3, 6]]","(False, 100)"
325,331,"[[1, 4], [3, 6]]","(False, 100)"
326,332,"[[1, 4], [3, 6]]","(False, 100)"
327,333,"[[1, 4], [3, 6]]","(False, 100)"
328,334,"[[1, 4], [3, 6]]","(False, 100)"
329,335,"[[1, 4], [3, 6]]","(False, 100)"
330,336,"[[1, 4], [3, 6]]","(False, 100)"
331,337,"[[1, 4], [3, 6]]","(False, 100)"
332,338,"[[1, 4], [3, 6]]","(False, 100)"
333,339,"[[1, 4], [3, 6]]","(False, 100)"
334,340,"[[1, 4], [3, 6]]","(False, 100)"
335,341,"[[1, 4], [3, 6]]","(False, 100)"
336,342,"[[1, 4], [3, 6]]","(False, 100)"
337,343,"[[1, 4], [3, 6]]","(False, 100)"
338,344,"[[1, 4], [3, 6]]","(False, 100)"
339,345,"[[1, 4], [3, 6]]","(False, 100)"
340,346,"[[1, 4], [3, 6]]","(False, 100)"
341,347,"[[1, 4], [3, 6]]","(False, 100)"
342,348,"[[1, 4], [3, 6]]","(False, 100)"
343,349,"[[1, 4], [3, 6]]","(False, 100)"
344,350,"[[1, 4], [3, 6]]","(False, 100)"
345,351,"[[1, 4], [3, 6]]","(False, 100)"
346,352,"[[1, 4], [3, 6]]","(False, 100)"
347,353,"[[1, 4], [3, 6]]","(False, 100)"
348,354,"[[1, 4], [3, 6]]","(False, 100)"
349,355,"[[1, 4], [3, 6]]","(False, 100)"
350,356,"[[1, 4], [3, 6]]","(False, 100)"
351,357,"[[1, 4], [3, 6]]","(False, 100)"
352,358,"[[1, 4], [3, 6]]","(False, 100)"
353,359,"[[1, 4], [3, 6]]","(False, 100)"
354,360,"[[1, 4], [3, 6]]","(False, 100)"
355,361,"[[1, 4], [3, 6]]","(False, 100)"
356,362,"[[1, 4], [3, 6]]","(False, 100)"
357,363,"[[1, 4], [3, 6]]","(False, 100)"
358,364,"[[1, 4], [3, 6]]","(False, 100)"
359,365,"[[1, 4], [3, 6]]","(False, 100)"
360,366,"[[1, 4], [3, 6]]","(False, 100)"
361,367,"[[1, 4], [3, 6]]","(False, 100)"
362,368,"[[1, 4], [3, 6]]","(False, 100)"
363,369,"[[1, 4], [3, 6]]","(False, 100)"
364,370,"[[1, 4], [3, 6]]","(False, 100)"
365,371,"[[1, 4], [3, 6]]","(False, 100)"
366,372,"[[1, 4], [3, 6]]","(False, 100)"
367,373,"[[1, 4], [3, 6]]","(False, 100)"
368,374,"[[1, 4], [3, 6]]","(False, 100)"
369,375,"[[1, 4], [3, 6]]","(False, 100)"
370,376,"[[1, 4], [3, 6]]","(False, 100)"
371,377,"[[1, 4], [3, 6]]","(False, 100)"
372,378,"[[1, 4], [3, 6]]","(False, 100)"
373,379,"[[1, 4], [3, 6]]","(False, 100)"
374,380,"[[1, 4], [3, 6]]","(False, 100)"
375,381,"[[1, 4], [3, 6]]","(False, 100)"
376,382,"[[1, 4], [3, 6]]","(False, 100)"
377,383,"[[1, 4], [3, 6]]","(False, 100)"
378,384,"[[1, 4], [3, 6]]","(False, 100)"
379,385,"[[1, 4], [3, 6]]","(False, 100)"
380,386,"[[1, 4], [3, 6]]","(False, 100)"
381,387,"[[1, 4], [3, 6]]","(False, 100)"
382,388,"[[1, 4], [3, 6]]","(False, 100)"
383,389,"[[1, 4], [3, 6]]","(False, 100)"
384,390,"[[1, 4], [3, 6]]","(False, 100)"
385,391,"[[1, 4], [3, 6]]","(False, 100)"
386,392,"[[1, 4], [3, 6]]","(False, 100)"
387,393,"[[1, 4], [3, 6]]","(False, 100)"
388,394,"[[1, 4], [3, 6]]","(False, 100)"
389,395,"[[1, 4], [3, 6]]","(False, 100)"
390,396,"[[1, 4], [3, 6]]","(False, 100)"
391,397,"[[1, 4], [3, 6]]","(False, 100)"
392,398,"[[1, 4], [3, 6]]","(False, 100)"
393,399,"[[1, 4], [3, 6]]","(False, 100)"
394,400,"[[1, 4], [3, 6]]","(False, 100)"
395,401,"[[1, 4], [3, 6]]","(False, 100)"
396,402,"[[1, 4], [3, 6]]","(False, 100)"
397,403,"[[1, 4], [3, 6]]","(False, 100)"
398,404,"[[1, 4], [3, 6]]","(False, 100)"
399,405,"[[1, 4], [3, 6]]","(False, 100)"
400,406,"[[1, 4], [3, 6]]","(False, 100)"
401,407,"[[1, 4], [3, 6]]","(False, 100)"
